frame,drift_[px],X1,Y1,X2,Y2,X3,Y3
17.000,0.000000,17.000,0.000000,1.000,-0.038706,1.000,-0.031239
51.000,-0.016559,51.000,-0.019602,10.995,-0.035201,10.995,-0.029145
86.000,-0.007725,86.000,-0.006985,20.990,-0.031695,20.990,-0.027051
121.000,0.040175,121.000,-0.033218,30.985,-0.028188,30.985,-0.024956
156.000,-0.002409,156.000,-0.001929,40.980,-0.024676,40.980,-0.022859
191.000,0.013753,191.000,0.026298,50.975,-0.021157,50.975,-0.020759
226.500,0.032850,226.500,0.009981,60.970,-0.017626,60.970,-0.018655
262.500,0.018875,262.500,0.001271,70.965,-0.014085,70.965,-0.016547
298.500,0.040319,298.500,0.013407,80.960,-0.010534,80.960,-0.014436
335.000,0.061147,335.000,0.023550,90.955,-0.006976,90.955,-0.012323
371.500,0.080191,371.500,0.060197,100.950,-0.003409,100.950,-0.010209
408.000,0.107491,408.000,0.050404,110.945,0.000165,110.945,-0.008092
445.500,0.160706,445.500,0.062144,120.940,0.003746,120.940,-0.005975
483.500,0.167973,483.500,0.096626,130.935,0.007336,130.935,-0.003857
521.500,0.149884,521.500,0.110531,140.930,0.010932,140.930,-0.001738
560.000,0.161433,560.000,0.084801,150.925,0.014535,150.925,0.000381
599.000,0.174145,599.000,0.105835,160.920,0.018143,160.920,0.002501
638.000,0.192807,638.000,0.087553,170.915,0.021757,170.915,0.004620
677.000,0.205720,677.000,0.112446,180.910,0.025374,180.910,0.006739
716.500,0.242651,716.500,0.112327,190.905,0.028996,190.905,0.008857
756.000,0.269494,756.000,0.121792,200.900,0.032621,200.900,0.010975
796.000,0.279884,796.000,0.115687,210.895,0.036249,210.895,0.013092
836.500,0.256717,836.500,0.114843,220.890,0.039879,220.890,0.015207
876.500,0.335284,876.500,0.132380,230.885,0.043510,230.885,0.017320
917.000,0.348985,917.000,0.121512,240.880,0.047143,240.880,0.019431
958.000,0.377837,958.000,0.145413,250.875,0.050776,250.875,0.021540
998.500,0.356986,998.500,0.137532,260.870,0.054409,260.870,0.023646
1038.500,0.343176,1038.500,0.149208,270.865,0.058042,270.865,0.025749
1079.500,0.336324,1079.500,0.154623,280.860,0.061673,280.860,0.027848
1121.500,0.405276,1121.500,0.137077,290.855,0.065304,290.855,0.029944
1164.000,0.421118,1164.000,0.106053,300.850,0.068934,300.850,0.032036
1207.000,0.449605,1207.000,0.139182,310.845,0.072562,310.845,0.034124
1250.000,0.494156,1250.000,0.120075,320.840,0.076188,320.840,0.036209
1293.000,0.509925,1293.000,0.111573,330.835,0.079813,330.835,0.038292
1335.500,0.534905,1335.500,0.117843,340.830,0.083435,340.830,0.040372
1378.000,0.502140,1378.000,0.158077,350.825,0.087057,350.825,0.042451
1421.000,0.516661,1421.000,0.168159,360.820,0.090680,360.820,0.044528
1464.500,0.527583,1464.500,0.176472,370.815,0.094307,370.815,0.046600
1508.000,0.482713,1508.000,0.141275,380.810,0.097941,380.810,0.048669
1551.000,0.501643,1551.000,0.146514,390.805,0.101579,390.805,0.050743
1595.000,0.566342,1595.000,0.154470,400.800,0.105221,400.800,0.052832
1639.500,0.605550,1639.500,0.150403,410.795,0.108865,410.795,0.054944
1684.000,0.607236,1684.000,0.169088,420.790,0.112521,420.790,0.057082
1729.500,0.599777,1729.500,0.094328,430.785,0.116222,430.785,0.059226
1775.000,0.568873,1775.000,0.115061,440.780,0.120005,440.780,0.061358
1820.500,0.562032,1820.500,0.099320,450.775,0.123903,450.775,0.063460
1867.500,0.637477,1867.500,0.120458,460.770,0.127921,460.770,0.065523
1915.000,0.680760,1915.000,0.064339,470.765,0.132033,470.765,0.067548
1962.000,0.672424,1962.000,0.099730,480.760,0.136217,480.760,0.069539
1993.000,0.687265,1993.000,0.060245,490.755,0.140449,490.755,0.071497
,,,,500.750,0.144722,500.750,0.073426
,,,,510.745,0.149038,510.745,0.075330
,,,,520.740,0.153399,520.740,0.077212
,,,,530.735,0.157806,530.735,0.079076
,,,,540.730,0.162255,540.730,0.080921
,,,,550.725,0.166741,550.725,0.082744
,,,,560.720,0.171258,560.720,0.084541
,,,,570.715,0.175802,570.715,0.086311
,,,,580.710,0.180362,580.710,0.088055
,,,,590.705,0.184928,590.705,0.089774
,,,,600.700,0.189490,600.700,0.091470
,,,,610.695,0.194039,610.695,0.093143
,,,,620.690,0.198565,620.690,0.094792
,,,,630.685,0.203060,630.685,0.096418
,,,,640.680,0.207518,640.680,0.098018
,,,,650.675,0.211931,650.675,0.099592
,,,,660.670,0.216300,660.670,0.101136
,,,,670.665,0.220622,670.665,0.102647
,,,,680.660,0.224898,680.660,0.104122
,,,,690.655,0.229127,690.655,0.105558
,,,,700.650,0.233314,700.650,0.106952
,,,,710.645,0.237460,710.645,0.108299
,,,,720.640,0.241568,720.640,0.109598
,,,,730.635,0.245642,730.635,0.110845
,,,,740.630,0.249688,740.630,0.112041
,,,,750.625,0.253711,750.625,0.113186
,,,,760.620,0.257715,760.620,0.114278
,,,,770.615,0.261708,770.615,0.115319
,,,,780.610,0.265696,780.610,0.116310
,,,,790.605,0.269686,790.605,0.117251
,,,,800.600,0.273686,800.600,0.118142
,,,,810.595,0.277702,810.595,0.118986
,,,,820.590,0.281739,820.590,0.119782
,,,,830.585,0.285801,830.585,0.120531
,,,,840.580,0.289894,840.580,0.121235
,,,,850.575,0.294022,850.575,0.121894
,,,,860.570,0.298189,860.570,0.122508
,,,,870.565,0.302397,870.565,0.123079
,,,,880.560,0.306650,880.560,0.123607
,,,,890.555,0.310948,890.555,0.124096
,,,,900.550,0.315287,900.550,0.124550
,,,,910.545,0.319662,910.545,0.124977
,,,,920.540,0.324069,920.540,0.125382
,,,,930.535,0.328502,930.535,0.125772
,,,,940.530,0.332954,940.530,0.126152
,,,,950.525,0.337419,950.525,0.126527
,,,,960.520,0.341890,960.520,0.126902
,,,,970.515,0.346360,970.515,0.127283
